id;sampleT;mc;sample1_wgt;sample2_wgt;sample3_wgt;test_desc;t;pH
1;2021-01-11 08:30:00;BPE-RP-PLA;1,7486;1,7523;1,7462;t=room pH=3;r;3
1;2021-01-11 09:00:00;BPE-RP-PLA;1,7535;1,7568;1,7521;t=room pH=3;r;3
1;2021-01-11 09:30:00;BPE-RP-PLA;1,7509;1,7551;1,7481;t=room pH=3;r;3
1;2021-01-11 10:30:00;BPE-RP-PLA;1,7556;1,7538;1,7476;t=room pH=3;r;3
1;2021-01-11 11:30:00;BPE-RP-PLA;1,7513;1,754;1,7487;t=room pH=3;r;3
1;2021-01-11 12:30:00;BPE-RP-PLA;1,7516;1,7543;1,7485;t=room pH=3;r;3
1;2021-01-11 14:30:00;BPE-RP-PLA;1,751;1,7551;1,7482;t=room pH=3;r;3
1;2021-01-11 16:30:00;BPE-RP-PLA;1,7528;1,7544;1,749;t=room pH=3;r;3
1;2021-01-12 08:30:00;BPE-RP-PLA;1,7545;1,7564;1,7504;t=room pH=3;r;3
1;2021-01-12 12:30:00;BPE-RP-PLA;1,755;1,7573;1,7512;t=room pH=3;r;3
1;2021-01-12 16:30:00;BPE-RP-PLA;1,753;1,7564;1,7506;t=room pH=3;r;3
1;2021-01-13 08:30:00;BPE-RP-PLA;1,7546;1,7583;1,7529;t=room pH=3;r;3
1;2021-01-13 12:30:00;BPE-RP-PLA;1,7558;1,758;1,7516;t=room pH=3;r;3
1;2021-01-13 16:30:00;BPE-RP-PLA;1,755;1,7598;1,7522;t=room pH=3;r;3
1;2021-01-14 08:30:00;BPE-RP-PLA;1,7554;1,7592;1,7527;t=room pH=3;r;3
1;2021-01-14 16:30:00;BPE-RP-PLA;1,757;1,7607;1,7547;t=room pH=3;r;3
1;2021-01-15 08:30:00;BPE-RP-PLA;1,7573;1,756;1,7529;t=room pH=3;r;3
1;2021-01-15 16:30:00;BPE-RP-PLA;1,7568;1,7604;1,7524;t=room pH=3;r;3
1;2021-01-18 08:30:00;BPE-RP-PLA;1,759;1,7608;1,755;t=room pH=3;r;3
1;2021-01-19 08:30:00;BPE-RP-PLA;1,7586;1,7607;1,7548;t=room pH=3;r;3
1;2021-01-11 08:30:00;BPE-SP-PBS;1,5084;1,4927;1,5026;t=room pH=3;r;3
1;2021-01-11 09:00:00;BPE-SP-PBS;1,5077;1,4932;1,5034;t=room pH=3;r;3
1;2021-01-11 09:30:00;BPE-SP-PBS;1,5078;1,493;1,503;t=room pH=3;r;3
1;2021-01-11 10:30:00;BPE-SP-PBS;1,508;1,4936;1,5032;t=room pH=3;r;3
1;2021-01-11 11:30:00;BPE-SP-PBS;1,5081;1,4941;1,5042;t=room pH=3;r;3
